Time (sec), Accel X (m/s^2), Accel Y (m/s^2), Accel Z (m/s^2), Gyro X (rad/s), Gyro Y (rad/s), Gyro Z (rad/s), Mag X (μT), Mag Y (μT), Mag Z (μT), Quat X, Quat Y, Quat Z, Quat W, Roll (deg), Pitch (deg), Yaw (deg), Δdistance (m), ΔYaw (rad), ΔX (m), ΔY (m)
1.44343,0.27127,0.269901,-9.51055,-6.77127e-05,-0.000373609,-0.000559751,-7.85347e-06,-2.52707e-06,7.00421e-06,0.147165,-0.988903,-0.0117195,0.0166272,178.391,358.313,196.953,0,0,0,0,
1.49008,0.273671,0.265326,-9.50115,0.000988485,0.000107428,0.000543673,-1.65384e-05,-5.62133e-06,1.43424e-05,0.147697,-0.988823,-0.0117203,0.0166409,178.389,358.313,197.014,0,0,0,0,
1.53287,0.280873,0.276763,-9.46826,-0.000117259,0.00112441,-0.000532638,-2.09528e-05,-6.90496e-06,1.77346e-05,0.14807,-0.988767,-0.0116914,0.0166874,178.391,358.307,197.058,0,0,0,0,
1.56436,0.297677,0.263039,-9.51055,0.000422819,8.066e-05,0.000481866,-2.17299e-05,-8.03054e-06,1.98986e-05,0.149016,-0.988625,-0.0116613,0.0167223,178.392,358.304,197.167,0,0,0,0,
1.59189,0.26887,0.258464,-9.5035,0.000390174,-0.00148105,0.000458922,-2.25539e-05,-8.20761e-06,2.02119e-05,0.149727,-0.988518,-0.0116387,0.0167208,178.394,358.305,197.25,0,0,0,0,
1.6261,0.285674,0.251603,-9.47766,-0.000638701,0.000638654,0.00151487,-2.32814e-05,-8.36626e-06,1.98129e-05,0.150651,-0.988377,-0.0116136,0.0167197,178.395,358.307,197.357,0,0,0,0,
1.65755,0.283273,0.25389,-9.47296,-8.71588e-05,-0.000902319,-6.29053e-05,-2.3582e-05,-8.50693e-06,2.00823e-05,0.151699,-0.988217,-0.0115814,0.0167227,178.397,358.307,197.478,0,0,0,0,
1.68708,0.307279,0.269901,-9.48471,0.000955572,0.000673486,-5.99101e-05,-2.29426e-05,-8.23133e-06,2.03493e-05,0.152216,-0.988137,-0.0115636,0.0167697,178.397,358.303,197.538,0,0,0,0,
1.71959,0.302478,0.263039,-9.48471,0.000912871,-0.000906881,0.000982895,-2.34661e-05,-8.01865e-06,2.02218e-05,0.15259,-0.98808,-0.0115584,0.0167815,178.397,358.302,197.582,0,0,0,0,
1.74905,0.283273,0.263039,-9.49176,-0.000144146,0.000656631,-0.000584234,-2.31517e-05,-8.19382e-06,1.96882e-05,0.152925,-0.988028,-0.0115622,0.0167781,178.396,358.303,197.62,0,0,0,0,
1.78167,0.292876,0.27905,-9.5035,-0.000158397,0.000610298,0.00100235,-2.28444e-05,-7.62375e-06,2.02377e-05,0.153077,-0.988004,-0.0115525,0.016802,178.396,358.3,197.638,0,0,0,0,
1.81132,0.285674,0.283625,-9.5082,0.000372071,0.00059196,0.000981364,-2.23296e-05,-7.32391e-06,2.0527e-05,0.152913,-0.988029,-0.0115793,0.0168118,178.393,358.299,197.619,0,0,0,0,
1.83883,0.290475,0.265326,-9.44947,-0.000684226,-0.000474805,-9.14261e-05,-2.24001e-05,-7.47821e-06,2.08755e-05,0.152866,-0.988036,-0.0115895,0.0168323,178.392,358.297,197.614,0,0,0,0,
1.86721,0.264068,0.258464,-9.49411,0.000349393,0.00110567,0.000432216,-2.27239e-05,-7.8501e-06,2.05955e-05,0.153012,-0.988013,-0.0115841,0.0168219,178.393,358.298,197.631,0,0,0,0,
1.89783,0.292876,0.265326,-9.47061,-0.000701329,1.28336e-06,0.000389203,-2.26395e-05,-8.16159e-06,2.07839e-05,0.153592,-0.987923,-0.0115661,0.0168515,178.393,358.296,197.698,0,0,0,0,
1.92498,0.278472,0.283625,-9.48706,-0.000173673,-0.00049304,-0.000630371,-2.25984e-05,-8.01433e-06,2.10398e-05,0.153942,-0.987868,-0.0115827,0.016861,178.39,358.295,197.739,0,0,0,0,
1.95568,0.276071,0.242453,-9.50585,0.000333149,8.60635e-05,-0.000128563,-2.221e-05,-7.5264e-06,2.06023e-05,0.154114,-0.987842,-0.0115645,0.0168475,178.392,358.297,197.758,0,0,0,0,
1.98314,0.26887,0.258464,-9.48001,0.000836575,-0.00146339,0.000384338,-2.23327e-05,-7.61153e-06,2.04289e-05,0.154172,-0.987834,-0.0115491,0.0168071,178.395,358.301,197.765,0,0,0,0,
2.01024,0.254466,0.25389,-9.48236,0.000277456,0.000139128,0.00141713,-2.26795e-05,-7.67374e-06,2.00647e-05,0.154218,-0.987827,-0.0115221,0.0167849,178.398,358.303,197.77,0,0,0,0,
2.03978,0.290475,0.249315,-9.49411,0.000307327,7.95592e-05,0.000365242,-2.28854e-05,-8.07915e-06,2.02423e-05,0.154585,-0.987769,-0.0115059,0.0168185,178.399,358.3,197.813,0,0,0,0,
2.06673,0.283273,0.272188,-9.51995,0.000824496,-0.00146959,0.000360362,-2.27604e-05,-7.96343e-06,2.04459e-05,0.154813,-0.987734,-0.0115046,0.0168075,178.399,358.301,197.839,0,0,0,0,
2.09329,0.27127,0.27905,-9.50585,0.000253437,0.00065252,-0.0001886,-2.29498e-05,-8.15878e-06,2.0568e-05,0.155073,-0.987693,-0.0115206,0.0168037,178.397,358.303,197.87,0,0,0,0,
2.12413,0.273671,0.276763,-9.5317,0.000755146,0.000667837,-0.000682071,-2.31222e-05,-8.6855e-06,2.06707e-05,0.155913,-0.987561,-0.0115031,0.0167938,178.397,358.305,197.967,0,0,0,0,
2.1498,0.26887,0.267614,-9.5035,0.000224927,0.000116747,0.000883248,-2.2906e-05,-8.08795e-06,2.07224e-05,0.1562,-0.987516,-0.0115129,0.0167632,178.396,358.309,198,0,0,0,0,
2.17651,0.297677,0.267614,-9.48706,0.00126531,8.61622e-05,-0.000172358,-2.25251e-05,-8.23044e-06,2.02618e-05,0.156594,-0.987454,-0.0114919,0.016781,178.398,358.307,198.046,0,0,0,0,
2.20277,0.276071,0.258464,-9.46356,0.000179,-0.000969032,0.000367653,-2.30524e-05,-8.07015e-06,2.06941e-05,0.156798,-0.987422,-0.0114831,0.0167746,178.398,358.308,198.07,0,0,0,0,
2.23227,0.273671,0.265326,-9.48001,0.000191094,0.000125412,-0.000165068,-2.29131e-05,-8.44936e-06,2.04074e-05,0.157233,-0.987353,-0.0114642,0.0167489,178.4,358.311,198.12,0,0,0,0,
2.25812,0.283273,0.274476,-9.50115,-0.000819048,0.000119442,0.000362083,-2.30476e-05,-8.46978e-06,2.05433e-05,0.157646,-0.987287,-0.0114975,0.0167576,178.396,358.312,198.168,0,0,0,0,
2.2843,0.285674,0.274476,-9.49881,-0.000817591,0.000101242,-0.00121303,-2.25935e-05,-7.68233e-06,2.04017e-05,0.157668,-0.987283,-0.0115128,0.0167797,178.393,358.309,198.171,0,0,0,0,
2.31369,0.292876,0.274476,-9.49411,0.000723192,0.000613691,0.000368476,-2.2938e-05,-8.08683e-06,2.02534e-05,0.157795,-0.987262,-0.0114916,0.016799,178.395,358.307,198.185,0,0,0,0,
2.34152,0.280873,0.281337,-9.47296,0.000701273,0.000102719,-0.000168357,-2.2807e-05,-8.75711e-06,2.06933e-05,0.158354,-0.987172,-0.0114984,0.016811,178.393,358.307,198.25,0,0,0,0,
2.36832,0.283273,0.274476,-9.47531,0.0012122,-0.000940751,-0.000147827,-2.27161e-05,-8.66086e-06,2.07321e-05,0.158995,-0.987069,-0.0114829,0.0168084,178.394,358.308,198.325,0,0,0,0,
2.39438,0.295276,0.283625,-9.48941,0.00066022,0.000130106,0.000897788,-2.26533e-05,-8.5974e-06,2.10044e-05,0.159557,-0.986978,-0.0114811,0.0168403,178.393,358.305,198.39,0,0,0,0,
2.42381,0.297677,0.290487,-9.5035,-0.000351073,8.39885e-05,-0.000154689,-2.30519e-05,-8.29204e-06,2.08096e-05,0.16002,-0.986903,-0.0115036,0.0168752,178.389,358.302,198.444,0,0,0,0,
2.45013,0.280873,0.249315,-9.48941,-0.0013354,7.99894e-05,-0.000134811,-2.28669e-05,-8.09968e-06,2.0809e-05,0.160141,-0.986883,-0.0114985,0.0168765,178.389,358.302,198.458,0,0,0,0,
2.47617,0.264068,0.272188,-9.49176,-0.000777556,0.00163405,-0.00115446,-2.32641e-05,-7.46124e-06,2.08015e-05,0.159751,-0.986946,-0.0115075,0.0168635,178.389,358.303,198.413,0,0,0,0,
2.50266,0.276071,0.25389,-9.5176,0.000285534,0.000567723,0.00145942,-2.35346e-05,-7.58157e-06,2.05447e-05,0.159252,-0.987027,-0.0115095,0.0168506,178.39,358.304,198.355,0,0,0,0,
2.53199,0.278472,0.258464,-9.47531,-0.00125495,0.00103474,0.000948865,-2.30466e-05,-7.3128e-06,2.03409e-05,0.158509,-0.987147,-0.0114886,0.0168683,178.393,358.3,198.268,0,0,0,0,
2.55794,0.280873,0.265326,-9.48236,-0.00120771,0.00102302,0.00141047,-2.34059e-05,-7.75197e-06,2.00001e-05,0.158174,-0.9872,-0.0115012,0.0168592,178.392,358.301,198.23,0,0,0,0,
2.58418,0.26887,0.249315,-9.50115,0.000407666,0.000455016,0.000886586,-2.3637e-05,-8.29472e-06,2.00271e-05,0.158214,-0.987194,-0.011495,0.016854,178.393,358.302,198.234,0,0,0,0,
2.6105,0.276071,0.283625,-9.48236,0.000945084,0.000458378,-0.00016918,-2.35201e-05,-8.37453e-06,1.98051e-05,0.158392,-0.987165,-0.0115058,0.0168771,178.391,358.299,198.255,0,0,0,0,
2.64024,0.292876,0.267614,-9.47061,-0.0006053,-0.000612546,0.000337321,-2.3407e-05,-8.60736e-06,2.04412e-05,0.158792,-0.9871,-0.0114961,0.0169209,178.391,358.295,198.301,0,0,0,0,
2.66765,0.288075,0.263039,-9.46826,-0.000588993,-0.00109016,-0.000223059,-2.38897e-05,-8.32097e-06,2.03082e-05,0.158919,-0.98708,-0.0114774,0.0169284,178.393,358.294,198.316,0,0,0,0,
2.69424,0.285674,0.260752,-9.5082,-0.000560949,-0.000543989,-0.00125102,-2.36726e-05,-8.38761e-06,2.04799e-05,0.159068,-0.987056,-0.011452,0.0169355,178.395,358.293,198.333,0,0,0,0,
2.72467,0.285674,0.256177,-9.47296,0.000455251,-0.000505304,-0.000668481,-2.31252e-05,-8.08273e-06,2.03045e-05,0.159193,-0.987037,-0.0114229,0.0169077,178.399,358.296,198.348,0,0,0,0,
2.75143,0.283273,0.25389,-9.49176,-0.000110742,3.80445e-05,-0.00115594,-2.29139e-05,-7.96572e-06,2.04857e-05,0.15922,-0.987033,-0.0114008,0.0168765,178.402,358.299,198.351,0,0,0,0,
2.77769,0.276071,0.269901,-9.47061,0.000933113,-0.000989834,-8.73506e-05,-2.27903e-05,-8.41791e-06,2.05969e-05,0.159522,-0.986984,-0.0113919,0.0168778,178.402,358.299,198.386,0,0,0,0,
2.80857,0.297677,0.283625,-9.49646,0.000360494,6.85379e-05,-0.000612691,-2.32959e-05,-8.46669e-06,2.06993e-05,0.159978,-0.98691,-0.0113888,0.0169124,178.401,358.296,198.439,0,0,0,0,
2.83517,0.26887,0.274476,-9.51995,0.0013694,-0.000479041,0.000467576,-2.30394e-05,-8.74039e-06,2.04863e-05,0.160446,-0.986834,-0.0113804,0.0169144,178.401,358.296,198.493,0,0,0,0,
2.86305,0.290475,0.274476,-9.49411,0.000265619,3.80315e-05,0.000977114,-2.31272e-05,-8.39435e-06,2.03488e-05,0.160716,-0.98679,-0.0113898,0.0169409,178.399,358.294,198.525,0,0,0,0,
2.89249,0.285674,0.265326,-9.5035,0.000209639,3.53474e-05,-0.000636887,-2.28522e-05,-8.0887e-06,1.9902e-05,0.160879,-0.986763,-0.0113636,0.0169578,178.402,358.292,198.544,0,0,0,0,
2.91905,0.300078,0.256177,-9.48941,0.00123824,-0.00100492,0.0014706,-2.3271e-05,-7.98315e-06,1.9969e-05,0.160785,-0.986779,-0.0113488,0.0169487,178.404,358.292,198.533,0,0,0,0,
2.94735,0.288075,0.274476,-9.51055,0.000153216,-0.000450293,0.000387028,-2.32792e-05,-8.69477e-06,2.07528e-05,0.161045,-0.986736,-0.011364,0.0169458,178.401,358.293,198.563,0,0,0,0,
2.97687,0.26887,0.258464,-9.51525,0.000142705,0.00115156,-0.000134848,-2.3638e-05,-8.44147e-06,2.06741e-05,0.161451,-0.986671,-0.011333,0.0169187,178.405,358.297,198.61,0,0,0,0,
3.00404,0.266469,0.265326,-9.49411,0.000123397,-0.00043611,-0.000597667,-2.32513e-05,-8.19903e-06,2.02275e-05,0.161484,-0.986666,-0.0113332,0.0168711,178.406,358.302,198.614,0,0,0,0,
