Time (sec), Accel X (m/s^2), Accel Y (m/s^2), Accel Z (m/s^2), Gyro X (rad/s), Gyro Y (rad/s), Gyro Z (rad/s), Mag X (μT), Mag Y (μT), Mag Z (μT), Quat X, Quat Y, Quat Z, Quat W, Roll (deg), Pitch (deg), Yaw (deg), Δdistance (m), ΔYaw (rad), ΔX (m), ΔY (m)
1.44308,0.249665,0.198995,-9.49646,-0.000185797,0.00193852,-5.5097e-05,-8.11038e-06,-3.05259e-06,7.98322e-06,0.174425,-0.984525,-0.00769497,0.0150509,178.831,358.456,200.109,0,0,0,0,
1.48368,0.26887,0.212719,-9.48236,0.00032218,0.00131938,-0.000582408,-1.55102e-05,-5.71137e-06,1.45658e-05,0.174263,-0.984554,-0.00768696,0.0150454,178.832,358.456,200.09,0,0,0,0,
1.53045,0.240062,0.187558,-9.5082,0.000365222,-0.000325089,0.000509717,-1.99799e-05,-7.28849e-06,1.75705e-05,0.173706,-0.984653,-0.00768378,0.0150121,178.834,358.459,200.025,0,0,0,0,
1.58153,0.256866,0.19442,-9.5317,0.000911927,0.00167147,0.00106771,-2.24574e-05,-7.66307e-06,1.91432e-05,0.173285,-0.984727,-0.00770477,0.0150465,178.831,358.455,199.976,0,0,0,0,
1.61579,0.27127,0.196707,-9.47296,-0.000114011,1.92933e-05,0.000980679,-2.38258e-05,-8.53982e-06,1.97548e-05,0.17252,-0.984861,-0.00772675,0.0150357,178.83,358.456,199.887,0,0,0,0,
1.64518,0.249665,0.201282,-9.47531,0.000944221,0.000982638,-4.04119e-05,-2.46348e-05,-8.54725e-06,2.02337e-05,0.171984,-0.984954,-0.00774423,0.0150557,178.829,358.453,199.825,0,0,0,0,
1.67044,0.252065,0.176122,-9.50585,0.000899265,0.000935853,-3.84897e-05,-2.388e-05,-8.26301e-06,2.04404e-05,0.171579,-0.985025,-0.00772734,0.0150524,178.831,358.453,199.778,0,0,0,0,
1.69652,0.252065,0.185271,-9.51995,-0.000157105,0.00086627,-0.00108775,-2.42053e-05,-8.88934e-06,2.0548e-05,0.171494,-0.98504,-0.00770736,0.0150604,178.834,358.451,199.768,0,0,0,0,
1.72277,0.261668,0.198995,-9.46356,-0.000681428,0.000787485,0.00100366,-2.415e-05,-9.28432e-06,2.06228e-05,0.17169,-0.985005,-0.00771666,0.0150745,178.832,358.45,199.791,0,0,0,0,
1.74846,0.266469,0.185271,-9.47061,-0.000142206,0.00124426,0.000474125,-2.38333e-05,-8.74061e-06,2.06835e-05,0.171741,-0.984996,-0.00769358,0.0150938,178.834,358.448,199.797,0,0,0,0,
