Time (sec), Accel X (m/s^2), Accel Y (m/s^2), Accel Z (m/s^2), Gyro X (rad/s), Gyro Y (rad/s), Gyro Z (rad/s), Mag X (μT), Mag Y (μT), Mag Z (μT), Quat X, Quat Y, Quat Z, Quat W, Roll (deg), Pitch (deg), Yaw (deg), Δdistance (m), ΔYaw (rad), ΔX (m), ΔY (m)
1.43937,0.444115,0.038884,-9.5129,-0.00206039,0.00457539,-0.00510268,-8.45319E-06,6.6901E-06,2.49587E-06,0.332241,0.942904,0.00967722,-0.0213193,179.766,357.327,141.185,0,0,0,0
1.48429,0.420109,0.0251603,-9.53875,-0.00337818,0.00410062,-0.00518369,-2.84062E-05,2.19909E-05,9.53237E-06,0.331743,0.943078,0.00970236,-0.0213719,179.764,357.321,141.245,0,0,0,0
1.53671,0.420109,0.0343094,-9.50115,-0.00363319,0.00427657,-0.00425671,-3.66852E-05,2.84928E-05,1.15152E-05,0.331494,0.943165,0.00973259,-0.0213813,179.76,357.318,141.276,0,0,0,0
1.58077,0.42491,0.0365967,-9.51525,-0.00229322,0.0034208,-0.00435678,-3.87023E-05,3.05843E-05,1.21055E-05,0.331351,0.943215,0.00979615,-0.0213775,179.753,357.316,141.293,0,0,0,0
1.62623,0.427311,0.0205857,-9.55284,-0.00153692,0.00361019,-0.00350519,-4.00238E-05,3.15282E-05,1.28119E-05,0.331089,0.943306,0.00979045,-0.0213886,179.753,357.316,141.325,0,0,0,0
1.67438,0.429711,0.0343094,-9.54814,-0.00138214,0.00273118,-0.00317846,-4.09227E-05,3.23354E-05,1.26221E-05,0.330961,0.943351,0.00974762,-0.0214032,179.758,357.316,141.34,0,0,0,0
1.72044,0.417708,0.0503205,-9.52465,-0.00226781,0.00197021,-0.00237622,-4.15504E-05,3.23067E-05,1.31885E-05,0.330853,0.94339,0.00975794,-0.0213569,179.755,357.32,141.354,0,0,0,0
1.76394,0.422509,0.0205857,-9.50115,-0.000562429,0.00389645,-0.00171459,-4.11866E-05,3.25261E-05,1.31904E-05,0.330826,0.9434,0.00976689,-0.0213452,179.753,357.321,141.357,0,0,0,0
1.79769,0.448916,0.0205857,-9.51995,-0.00200784,0.00203685,-0.00151917,-4.18259E-05,3.26427E-05,1.31725E-05,0.33071,0.94344,0.00974512,-0.0213764,179.756,357.319,141.371,0,0,0,0
1.82723,0.422509,0.0411713,-9.527,-0.00184144,0.00141077,-0.00188152,-4.18228E-05,3.28993E-05,1.33873E-05,0.3307,0.943444,0.00978908,-0.0213242,179.75,357.323,141.372,0,0,0,0
1.85543,0.410506,0.0297348,-9.52465,-0.00127201,0.00185038,-0.00280549,-4.19673E-05,0.000033365,1.35576E-05,0.33075,0.943428,0.00976819,-0.0212896,179.751,357.327,141.366,0,0,0,0
