Time (sec), Accel X (m/s^2), Accel Y (m/s^2), Accel Z (m/s^2), Gyro X (rad/s), Gyro Y (rad/s), Gyro Z (rad/s), Mag X (μT), Mag Y (μT), Mag Z (μT), Quat X, Quat Y, Quat Z, Quat W, Roll (deg), Pitch (deg), Yaw (deg), Δdistance (m), ΔYaw (rad), ΔX (m), ΔY (m)
1.4371,0.302478,0.203569,-9.50115,0.00221211,0.00127079,0.00189551,-8.37734e-06,-2.79865e-06,7.48494e-06,0.156183,-0.987549,-0.00777293,0.0171118,178.813,358.202,197.993,0,0,0,0,
1.47785,0.278472,0.210431,-9.48236,0.00154924,0.000192286,0.00226854,-1.56531e-05,-5.58387e-06,1.39754e-05,0.156604,-0.987483,-0.0077727,0.0171084,178.813,358.203,198.041,0,0,0,0,
1.5349,0.312081,0.196707,-9.50115,0.00141714,0.000125259,0.0010304,-1.98086e-05,-7.82637e-06,1.82464e-05,0.157832,-0.987287,-0.00774769,0.0171427,178.813,358.2,198.184,0,0,0,0,
1.58592,0.288075,0.205857,-9.47766,0.000785762,-0.000468299,0.00185354,-2.21665e-05,-8.77899e-06,1.94867e-05,0.160269,-0.986894,-0.00770692,0.0171545,178.813,358.201,198.467,0,0,0,0,
1.63553,0.283273,0.203569,-9.5035,0.000193723,0.000515806,0.00321408,-2.32733e-05,-8.20444e-06,1.90303e-05,0.160997,-0.986775,-0.0077082,0.0171971,178.81,358.197,198.552,0,0,0,0,
1.67257,0.307279,0.21958,-9.47766,0.000646153,-0.000594852,0.00146707,-2.33039e-05,-8.39166e-06,1.88491e-05,0.161421,-0.986705,-0.00773052,0.0172193,178.807,358.196,198.601,0,0,0,0,
1.70272,0.307279,0.215006,-9.48941,0.000575535,0.000460977,0.000819236,-2.34285e-05,-7.96364e-06,1.99323e-05,0.161157,-0.986748,-0.00774335,0.0172323,178.806,358.194,198.57,0,0,0,0,
1.73057,0.290475,0.203569,-9.46591,0.00158671,-6.775e-05,0.000285968,-2.33808e-05,-7.8991e-06,1.97469e-05,0.161027,-0.98677,-0.00775368,0.017206,178.805,358.197,198.555,0,0,0,0,
1.76178,0.30968,0.212719,-9.47061,-3.33712e-05,0.000431899,0.00129186,-2.37002e-05,-8.56051e-06,2.02423e-05,0.161275,-0.986729,-0.0077642,0.0172269,178.803,358.195,198.584,0,0,0,0,
1.79031,0.307279,0.196707,-9.47296,0.00200784,0.000918113,0.000686035,-2.35501e-05,-8.27923e-06,2.01927e-05,0.161417,-0.986705,-0.00774455,0.0172726,178.804,358.19,198.601,0,0,0,0,
1.81757,0.300078,0.217293,-9.49411,0.000886176,0.000911938,0.00118518,-2.34552e-05,-8.36089e-06,2.04059e-05,0.161572,-0.986679,-0.00775215,0.0172851,178.803,358.189,198.619,0,0,0,0,
1.84925,0.292876,0.210431,-9.46826,0.000316869,0.000897041,0.00112597,-2.33922e-05,-8.60781e-06,1.97592e-05,0.161915,-0.986622,-0.00778509,0.0172981,178.798,358.188,198.659,0,0,0,0,
1.87666,0.280873,0.210431,-9.50585,0.000783535,0.00139865,0.00107236,-2.30848e-05,-8.30177e-06,2.01367e-05,0.162154,-0.986583,-0.00778542,0.0172931,178.798,358.189,198.686,0,0,0,0,
1.908,0.297677,0.187558,-9.48706,-0.000817111,0.000830116,0.000984486,-2.31816e-05,-8.04675e-06,2.01209e-05,0.162232,-0.986571,-0.00777587,0.0172868,178.799,358.19,198.695,0,0,0,0,
1.93581,0.295276,0.196707,-9.48236,0.00126142,0.000803106,0.000937611,-2.34876e-05,-8.21984e-06,2.01067e-05,0.162243,-0.986569,-0.0077856,0.0172859,178.798,358.19,198.697,0,0,0,0,
1.96692,0.285674,0.198995,-9.5035,0.00019519,0.00130296,0.000389095,-2.34692e-05,-8.93006e-06,2.02938e-05,0.162906,-0.986459,-0.00778569,0.0173012,178.796,358.189,198.774,0,0,0,0,
1.99473,0.300078,0.21958,-9.5035,0.000717701,0.00127847,0.00088986,-2.3155e-05,-9.03881e-06,1.99793e-05,0.163576,-0.986348,-0.00780458,0.0173303,178.792,358.187,198.852,0,0,0,0,
2.02593,0.307279,0.224155,-9.48471,0.00119856,0.000199124,0.00186565,-2.32193e-05,-8.77883e-06,2.03725e-05,0.16436,-0.986217,-0.00780459,0.0173323,178.791,358.188,198.943,0,0,0,0,
2.0538,0.295276,0.224155,-9.48471,0.00064723,0.000189643,0.00124502,-2.35118e-05,-8.68837e-06,2.02677e-05,0.164654,-0.986168,-0.00783183,0.0173247,178.787,358.19,198.977,0,0,0,0,
2.08228,0.307279,0.215006,-9.47531,0.00111068,0.000712417,-0.000359617,-2.37119e-05,-9.41924e-06,2.0441e-05,0.16533,-0.986055,-0.00781444,0.0173422,178.788,358.188,199.055,0,0,0,0,
2.11313,0.316882,0.203569,-9.47531,-0.000451088,-0.000883512,0.000642676,-2.3778e-05,-9.07638e-06,2.01789e-05,0.16623,-0.985903,-0.00781916,0.0173721,178.785,358.186,199.16,0,0,0,0,
