Time (sec), Accel X (m/s^2), Accel Y (m/s^2), Accel Z (m/s^2), Gyro X (rad/s), Gyro Y (rad/s), Gyro Z (rad/s), Mag X (μT), Mag Y (μT), Mag Z (μT), Quat X, Quat Y, Quat Z, Quat W, Roll (deg), Pitch (deg), Yaw (deg), Δdistance (m), ΔYaw (rad), ΔX (m), ΔY (m)
1.43721,0.23286,0.164685,-9.5223,-0.00142921,-0.000490829,0.00407612,-8.65269e-06,-3.3316e-06,7.47439e-06,0.179379,-0.983678,-0.00648624,0.0125809,179.01,358.715,200.68,0,0,0,0,
1.47666,0.208854,0.185271,-9.51525,0.000711562,3.83705e-05,0.00434503,-1.58066e-05,-5.86178e-06,1.32992e-05,0.178996,-0.983748,-0.00653276,0.012573,179.005,358.717,200.636,0,0,0,0,
1.51553,0.223258,0.148674,-9.49411,-0.000809832,0.000591889,0.000997175,-1.94472e-05,-6.44023e-06,1.66233e-05,0.177857,-0.983954,-0.00654052,0.0125999,179.005,358.713,200.503,0,0,0,0,
1.5583,0.223258,0.166973,-9.5129,-0.000203645,0.00108088,0.00233962,-2.12796e-05,-7.22111e-06,1.86881e-05,0.176221,-0.984248,-0.00661136,0.0126167,178.999,358.71,200.313,0,0,0,0,
1.59765,0.220857,0.178409,-9.5176,-0.00117811,-0.000503505,0.00322532,-2.19097e-05,-8.19745e-06,1.97161e-05,0.175825,-0.984318,-0.00663626,0.0126339,178.997,358.709,200.267,0,0,0,0,
1.6391,0.206453,0.178409,-9.51995,-0.000575688,-0.000999479,0.00251568,-2.25641e-05,-7.27885e-06,1.99119e-05,0.174724,-0.984514,-0.00665709,0.0126194,178.996,358.71,200.139,0,0,0,0,
1.6828,0.225658,0.173834,-9.49176,-0.000509361,0.000143928,0.000785328,-2.25584e-05,-7.99376e-06,2.0437e-05,0.173662,-0.984701,-0.0066779,0.0126553,178.994,358.705,200.015,0,0,0,0,
1.72538,0.225658,0.180696,-9.45887,-0.000462012,-0.000883611,0.00223326,-2.25389e-05,-7.85134e-06,2.10616e-05,0.17284,-0.984845,-0.00670699,0.0126824,178.992,358.701,199.919,0,0,0,0,
1.76484,0.218457,0.160111,-9.47296,-0.000416599,0.000229532,0.00211291,-2.21812e-05,-7.79768e-06,2.09456e-05,0.172264,-0.984946,-0.00673768,0.0126811,178.989,358.702,199.852,0,0,0,0,
1.80432,0.225658,0.160111,-9.48236,-0.000411626,0.000176702,0.000999413,-2.27161e-05,-8.49558e-06,2.15347e-05,0.172223,-0.984953,-0.00671199,0.0127077,178.991,358.698,199.848,0,0,0,0,
1.84684,0.213655,0.162398,-9.49411,-0.000891756,0.000728427,0.000362191,-2.34757e-05,-8.07921e-06,2.10863e-05,0.171619,-0.985059,-0.00673929,0.0126922,178.989,358.7,199.777,0,0,0,0,
