Time (sec), Accel X (m/s^2), Accel Y (m/s^2), Accel Z (m/s^2), Gyro X (rad/s), Gyro Y (rad/s), Gyro Z (rad/s), Mag X (μT), Mag Y (μT), Mag Z (μT), Quat X, Quat Y, Quat Z, Quat W, Roll (deg), Pitch (deg), Yaw (deg), Δdistance (m), ΔYaw (rad), ΔX (m), ΔY (m)
1.4573,0.410506,0.0365967,-9.5129,-0.000303991,-0.000724936,-0.000241492,-1.51994e-05,1.25711e-05,4.74466e-06,0.342269,0.939367,0.00939653,-0.0188079,179.726,357.606,139.966,0,0,0,0,
1.49478,0.388901,0.0640443,-9.5129,-0.00128419,-0.0012178,-0.000212241,-2.8759e-05,2.27548e-05,8.8466e-06,0.341777,0.939547,0.00940552,-0.0187681,179.722,357.61,140.026,0,0,0,0,
1.52425,0.412907,0.0503205,-9.49176,-0.000179717,0.000327103,-0.00174293,-3.53379e-05,2.79793e-05,1.12901e-05,0.341208,0.939753,0.0094344,-0.0187836,179.718,357.608,140.096,0,0,0,0,
1.55191,0.400904,0.038884,-9.48471,-0.000690451,-0.00019525,0.000898972,-3.7832e-05,2.99489e-05,1.17182e-05,0.340856,0.939881,0.0094258,-0.0187888,179.718,357.608,140.139,0,0,0,0,
1.58278,0.384099,0.0411713,-9.49176,0.000347402,-0.00018117,-0.00171116,-4.00071e-05,3.08696e-05,1.24179e-05,0.340151,0.940136,0.00939788,-0.0187895,179.72,357.609,140.225,0,0,0,0,
1.60898,0.405705,0.0297348,-9.53875,-0.000720235,-0.000704346,0.000434961,-4.05462e-05,3.207e-05,1.26956e-05,0.339775,0.940272,0.00938454,-0.0187844,179.72,357.61,140.27,0,0,0,0,
1.63525,0.405705,0.0548951,-9.49881,-0.000179164,-0.00117759,-0.000599306,-4.11725e-05,3.20417e-05,1.28604e-05,0.339347,0.940427,0.0093805,-0.0187704,179.719,357.612,140.323,0,0,0,0,
1.66459,0.391301,0.038884,-9.51055,-0.000154309,-0.000117576,0.000506286,-4.24145e-05,3.27158e-05,1.2994e-05,0.338596,0.940697,0.00934955,-0.0188078,179.722,357.609,140.414,0,0,0,0,
1.69068,0.396102,0.0526078,-9.50115,-0.000666253,-0.00116307,-0.00107569,-4.20823e-05,3.32534e-05,1.33117e-05,0.338278,0.940812,0.00935773,-0.0187977,179.72,357.61,140.453,0,0,0,0,
1.71702,0.396102,0.0365967,-9.48471,0.000391537,0.00143871,-0.000530213,-4.26711e-05,3.33145e-05,1.32477e-05,0.337932,0.940935,0.00934916,-0.0188341,179.721,357.607,140.495,0,0,0,0,
1.74334,0.391301,0.0274475,-9.49881,0.000892187,-0.000681929,-0.000504967,-4.22583e-05,3.31095e-05,1.34694e-05,0.337595,0.941057,0.00931435,-0.0188266,179.724,357.609,140.536,0,0,0,0,
1.77293,0.405705,0.0343094,-9.5317,-0.000678889,-0.000126433,4.99561e-05,-4.19094e-05,3.29279e-05,1.31669e-05,0.337156,0.941215,0.00927011,-0.018826,179.727,357.611,140.589,0,0,0,0,
1.79931,0.398503,0.0343094,-9.5223,-0.00167263,-0.000107901,-0.00148527,-4.20495e-05,3.2589e-05,1.29147e-05,0.336775,0.941351,0.00925518,-0.0188257,179.728,357.611,140.636,0,0,0,0,
1.82502,0.400904,0.0320221,-9.49176,-4.76371e-05,0.000416527,0.000625074,-4.21333e-05,3.26356e-05,1.27556e-05,0.336396,0.941487,0.00924107,-0.0188447,179.729,357.61,140.682,0,0,0,0,
1.85346,0.384099,0.0503205,-9.48941,-0.000600804,-8.2707e-05,-0.00140981,-4.21935e-05,3.2681e-05,1.32883e-05,0.33583,0.94169,0.00921678,-0.0188246,179.73,357.613,140.751,0,0,0,0,
1.88072,0.396102,0.022873,-9.48471,-0.00107898,-0.00056052,0.00122873,-4.16936e-05,3.27081e-05,1.32538e-05,0.335581,0.941779,0.00920037,-0.0188162,179.73,357.615,140.781,0,0,0,0,
1.90713,0.396102,0.0548951,-9.46121,-0.000520825,0.0015183,0.000663459,-4.24223e-05,3.29655e-05,1.32107e-05,0.335309,0.941875,0.00921937,-0.0188488,179.729,357.611,140.814,0,0,0,0,
1.93335,0.388901,0.038884,-9.49881,-0.000496028,-7.43195e-05,0.000631873,-4.21037e-05,3.28843e-05,1.31983e-05,0.335058,0.941964,0.00921246,-0.0188456,179.729,357.611,140.845,0,0,0,0,
1.96299,0.398503,0.0365967,-9.5082,0.00103488,-0.00061309,0.000130262,-4.23916e-05,3.33018e-05,1.27836e-05,0.334703,0.942091,0.00917989,-0.018836,179.731,357.614,140.888,0,0,0,0,
1.98903,0.400904,0.0297348,-9.51055,0.000491347,-7.71228e-05,0.000655863,-4.23523e-05,3.30918e-05,1.26717e-05,0.334488,0.942167,0.00916295,-0.0188323,179.732,357.615,140.914,0,0,0,0,
2.01518,0.403304,0.0571824,-9.51995,-0.000558117,-0.00111203,-0.00038892,-4.28601e-05,3.26821e-05,1.2586e-05,0.334099,0.942306,0.00918662,-0.0188129,179.728,357.616,140.961,0,0,0,0,
2.04152,0.369696,0.0434586,-9.5035,-0.000531545,-4.55305e-05,0.000148889,-4.26416e-05,3.29606e-05,1.2795e-05,0.333769,0.942423,0.00918255,-0.0187925,179.727,357.619,141.001,0,0,0,0,
2.07161,0.403304,0.0434586,-9.48471,0.000532333,0.000439735,-0.000900198,-4.17453e-05,3.28609e-05,1.2989e-05,0.333521,0.942511,0.00917363,-0.0188004,179.728,357.618,141.032,0,0,0,0,
2.09727,0.398503,0.0457459,-9.50585,0.000557039,0.000443825,-0.000882365,-4.24659e-05,3.27978e-05,1.27915e-05,0.333271,0.942599,0.0091625,-0.0187999,179.728,357.619,141.062,0,0,0,0,
2.12299,0.393702,0.0365967,-9.48941,2.37394e-05,0.00044772,-0.000346087,-4.21257e-05,3.30405e-05,1.29323e-05,0.333104,0.942658,0.00913814,-0.0188026,179.73,357.619,141.082,0,0,0,0,
