Iteration,Speed,PWM
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,2.44444,255
56,3.27778,255
57,2.88889,10
58,3,191
59,3.22222,139
60,3.11111,36
61,3.05556,87
62,2.77778,113
63,3.33333,242
64,3.11111,-15
65,3.22222,87
66,2.72222,36
67,3.05556,255
68,3.05556,113
69,3.44444,113
70,0,-67
71,3.33333,255
72,2.77778,-15
73,3.33333,242
74,2.83333,-15
75,3.38889,217
76,2.55556,-41
77,3.5,255
78,2.22222,-93
79,3.05556,255
80,3.11111,113
81,3.11111,87
82,2.88889,87
83,3.33333,191
84,3,-15
85,2.77778,139
86,3.38889,242
87,2.66667,-41
88,3.16667,255
89,3.38889,62
90,3.16667,87
91,2.88889,62
92,3.11111,191
93,3.33333,87
94,3.11111,-15
95,2.27778,87
96,3.44444,255
97,2.66667,-67
98,3.27778,255
99,2.94444,10
100,3.33333,165
101,3.11111,-255
102,2.61111,-255
103,2.72222,-255
104,2.66667,-255
105,2.44444,-255
106,2.22222,-255
107,2.11111,-255
108,2.05556,-255
109,1.88889,-255
110,1.77778,-255
111,1.55556,-255
112,1.44444,-255
113,1.33333,-255
114,1.22222,-255
115,1.11111,-255
116,1.11111,-255
117,0.888889,-255
118,0.666667,-255
119,0.722222,-255
120,0.611111,-255
121,0.5,-255
122,0.388889,-232
123,0.333333,-180
124,0.222222,-155
125,0.111111,-103
126,0.0555556,-51
127,0,-25
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,2,255
201,3.27778,255
202,3.33333,10
203,2.72222,-15
204,3.33333,255
205,3.27778,-15
206,2.72222,10
207,3.44444,255
208,2.33333,-67
209,2.94444,255
210,3.33333,165
211,3.11111,-15
212,3.22222,87
213,2.72222,36
214,3.38889,255
215,2.83333,-41
216,3.16667,217
217,3.27778,62
218,2.72222,10
219,3.22222,255
220,3.05556,36
221,3.27778,113
222,3.11111,10
223,3.16667,87
224,2.77778,62
225,3.33333,242
226,2.88889,-15
227,3.33333,191
228,2.94444,-15
229,3,165
230,3.11111,139
231,3.05556,87
232,2.83333,113
233,3.11111,217
234,3.11111,87
235,3.11111,87
236,3.05556,87
237,3.05556,113
238,2.88889,113
239,3.38889,191
240,2.77778,-41
241,2.94444,242
242,3,165
243,3.11111,139
244,3,87
245,3.33333,139
246,2.77778,-15
247,3.33333,242
248,3,-15
249,3.05556,139
250,3.11111,113
251,3.05556,87
252,2.66667,113
253,3.55556,255
254,1.77778,-118
255,2.66667,255
256,3.33333,255
257,3,-15
258,3.22222,139
259,3,36
260,4.33333,139
261,0,-255
262,-0.0555556,255
263,3.11111,255
264,3.05556,87
265,3.05556,113
266,3.11111,113
267,2.94444,87
268,3.22222,165
269,2.77778,36
270,3.22222,242
271,3.27778,36
272,2.77778,10
273,3.11111,242
274,3.22222,87
275,2.94444,36
276,3.16667,165
277,2.88889,62
278,3,191
279,3.16667,139
280,2.61111,62
281,2.88889,-255
282,3,-255
283,2.72222,-255
284,2.44444,-255
285,2.61111,-255
286,2.44444,-255
287,2.11111,-255
288,2.11111,-255
289,2,-255
290,1.88889,-255
291,1.5,-255
292,1.44444,-255
293,1.33333,-255
294,1.16667,-255
295,1.11111,-255
296,1.05556,-255
297,0.888889,-255
298,0.777778,-255
299,0.611111,-255
300,0.555556,-255
301,0.5,-255
302,0.444444,-232
303,0.333333,-206
304,0.222222,-155
305,0.111111,-103
306,0,-51
307,0,0
308,0,0
309,0,0
310,0,0
311,0,0
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,0,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,0,0
351,0,0
352,0,0
353,0,0
354,0,0
355,0,0
356,0,0
357,0,0
358,0,0
359,0,0
360,0,0
361,0,0
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,0,0
368,0,0
369,0,0
370,0,0
371,0,0
372,0,0
373,0,0
374,0,0
375,0,0
376,0,0
377,0,0
378,0,0
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,0,0
396,0,0
397,0,0
398,0,0
399,0,0
400,0,0
401,0,0
402,0,0
403,0,0
404,0,0
405,0,0
406,0,0
407,0,0
408,0.833333,153
409,-1.22222,-234
410,0,255
411,2,153
412,0,-255
413,0,153
414,0.833333,153
415,-0.944444,-234
416,0,255
417,2.22222,153
418,0,-255
419,-0.0555556,153
420,1.11111,179
421,0.111111,-255
422,-1,101
423,0.722222,255
424,-0.0555556,-182
425,0.888889,179
426,-0.0555556,-255
427,0.0555556,179
428,0.888889,127
429,-0.166667,-255
430,0.444444,231
431,1,-53
432,-0.222222,-255
433,0,255
434,1.88889,153
435,0,-255
436,-0.0555556,153
437,1.22222,179
438,0.0555556,-255
439,-0.555556,127
440,1.77778,255
441,0,-255
442,0.0555556,153
443,0.722222,127
444,-0.722222,-182
445,0.722222,255
446,-0.111111,-182
447,1.16667,205
448,0,-255
449,-0.222222,153
450,2.22222,255
451,0,-255
452,0,153
453,1.05556,153
